x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
A0,A0,A0,67.0,A0,A0,A0,A0,A0,A0,19.4,A0
A1,A0,A0,34.0,A0,A1,A1,A1,A1,A1,62.65,A1
A2,A0,A1,30.0,A0,A0,A0,A0,A0,A2,19.7,A0
A3,A0,A1,41.0,A0,A1,A2,A1,A2,A1,106.3,A1
A4,A0,A1,21.0,A0,A1,A2,A1,A2,A0,99.85,A0
A5,A0,A0,57.0,A0,A0,A0,A0,A0,A3,19.6,A0
A6,A1,A1,72.0,A0,A1,A2,A1,A2,A3,113.8,A0
A7,A0,A1,1.0,A0,A0,A0,A0,A0,A0,20.55,A0
,A0,A1,60.0,A0,A1,A2,A2,A1,A1,89.55,A0
A9,A0,A0,40.0,A0,A1,A1,A1,A1,A0,56.6,
A10,A0,A1,1.0,A1,A2,A1,A2,A1,A2,25.1,A1
A11,A1,A1,,A1,A2,A1,A2,A1,A2,24.45,A1
A12,A0,A1,1.0,A0,A0,A2,A2,A1,A2,71.55,A1
A13,A0,A0,62.0,A0,A1,A0,A0,A0,A3,24.8,A0
A14,A0,A0,56.0,A0,A1,A0,A0,A0,A1,24.3,A0
A15,A0,A0,23.0,A0,A1,A0,A0,A0,A0,25.6,A0
A16,A0,A1,32.0,A0,A1,A2,A2,A2,A3,85.65,
A17,A0,A1,72.0,A0,A0,A0,A0,A0,A0,19.8,A0
A18,A0,A0,71.0,A0,A1,A1,A1,A2,A0,89.9,A0
A19,A0,A1,17.0,A0,A0,A2,A2,A1,A1,70.8,A0
A20,A0,A1,22.0,A0,A0,A1,A1,A1,A3,65.25,A0
A21,A0,A0,68.0,A0,A0,A1,A1,A1,A3,64.1,A0
A22,A1,A1,15.0,A0,A0,A2,A2,A2,A1,79.4,A1
A23,A1,A1,50.0,A0,A1,A2,A1,A2,A1,106.8,A0
A24,A0,A0,51.0,A0,A0,A2,A2,A1,A2,69.15,A0
A25,A0,A0,10.0,A0,A0,A0,A0,A0,A2,20.15,A0
A26,A0,A0,59.0,A1,A2,A1,A2,A1,A2,34.8,A0
A27,A0,A1,2.0,A0,A0,A2,A2,A1,A2,79.65,A1
A28,A0,A0,63.0,A0,A1,A0,A0,A0,A2,25.25,A0
A29,A0,A0,56.0,A0,A1,A2,A2,A2,A2,109.6,A0
A30,A0,A1,4.0,A1,A2,A1,A1,A1,A1,33.65,A1
A31,A1,A0,26.0,A0,A1,A2,A1,A2,A1,105.75,A1
A32,A0,A1,1.0,A0,A1,A2,A2,A1,A1,76.0,A1
A33,A0,A1,12.0,A0,A0,A0,A0,A0,A0,20.05,A0
A34,A1,A1,45.0,A0,A1,A2,A2,A2,A3,102.15,A0
A35,A0,A1,3.0,A0,A1,A2,A2,A1,A1,75.25,A1
A36,A0,A1,26.0,A0,A1,A2,A2,A1,A1,80.5,A1
A37,A0,A0,,A1,A2,A1,A2,A2,A0,35.5,A0
A38,A0,A0,49.0,A0,A0,A2,A1,A1,A0,85.3,A0
A39,A0,A1,29.0,A1,A2,A1,A2,A1,A1,31.2,A0
A40,A1,A0,46.0,A0,A1,A2,A2,A2,A1,101.0,A1
A41,A0,A0,,A0,A1,A2,A1,A2,A3,117.6,A0
A42,A0,A0,72.0,A1,A2,A1,A2,A2,A3,60.95,
A43,A0,A0,6.0,A0,A0,A0,A0,A0,A3,19.5,A1
A44,A1,A0,72.0,A0,A1,A2,A1,A2,A2,114.5,A0
A45,A0,A0,41.0,A0,A1,A2,A1,A2,A3,109.1,A0
A46,A0,A1,2.0,A0,A0,A2,A2,A1,A1,79.75,
